AREA,SUB AREA,AGE GROUP,SEASON,WEEK,THRESHOLD,BASELINE,PERCENT P&I,NUM INFLUENZA DEATHS,NUM PNEUMONIA DEATHS,TOTAL DEATHS,PERCENT COMPLETE
National,,All,2018-19,40,5.8,5.5,5.7,10,"2,946","52,213",> 100%
National,,All,2018-19,41,5.9,5.6,5.5,12,"2,849","51,612",> 100%
National,,All,2018-19,42,6,5.6,5.6,18,"2,960","52,775",> 100%
National,,All,2018-19,43,6.1,5.7,5.7,24,"3,043","53,552",> 100%
National,,All,2018-19,44,6.2,5.8,5.6,24,"2,964","53,077",> 100%
National,,All,2018-19,45,6.3,5.9,5.7,29,"2,951","52,717",> 100%
National,,All,2018-19,46,6.4,6,5.8,26,"3,071","53,763",> 100%
National,,All,2018-19,47,6.5,6.1,5.8,31,"3,101","53,840",> 100%
National,,All,2018-19,48,6.6,6.2,6,35,"3,198","53,987",> 100%
National,,All,2018-19,49,6.7,6.4,6.1,54,"3,257","54,472",> 100%
National,,All,2018-19,50,6.8,6.4,6.3,49,"3,402","54,534",> 100%
National,,All,2018-19,51,6.9,6.5,6.3,85,"3,336","54,729",> 100%
National,,All,2018-19,52,7,6.6,6.6,129,"3,437","53,774",> 100%
National,,All,2018-19,1,7,6.7,7,183,"3,531","53,279",> 100%
National,,All,2018-19,2,7.1,6.8,7.3,228,"3,547","51,944",> 100%
National,,All,2018-19,3,7.2,6.8,7.4,211,"3,624","52,002",> 100%
National,,All,2018-19,4,7.2,6.9,7.1,233,"3,369","50,536",> 100%
National,,All,2018-19,5,7.3,6.9,7.1,260,"3,271","49,392",> 100%
National,,All,2018-19,6,7.3,6.9,7.2,268,"3,033","45,994",96.7%
National,,All,2018-19,7,7.3,7,7.1,289,"2,487","38,918",81.8%
