"","X","screen_name","text","location"
"2",2,"informador_MEX","La influenza no discrimina, esta vez le tocó al presidente de Suprema Corte  <U+0001F927> https://t.co/N4CTwgCVEL","Guadalajara, Jalisco"
"3",3,"informador_MEX","Por influenza, presidente de Suprema Corte falta a sesión https://t.co/qBUbmQe7fH","Guadalajara, Jalisco"
"4",4,"IDIGHProgram","Hilary Hendin Ph.D student from Dr. Brian Ward's lab, presented her research on influenza at today's Work In Progress seminar! For more info check out: https://t.co/KZ2F1OKA3l https://t.co/4fRVcVUjmz","Montréal, Québec"
"5",5,"doctorMarkyMark","@philiphere Umm..no.  “According to most of the authors, more randomized controlled trials with effective, large populations are needed to explore the preventive effect of vitamin D supplementation on viral influenza infections.” https://t.co/rBzYTrfNZ4","Atlanta, GA"
"6",6,"doctorMarkyMark","So, Influenza vaccination during pregnancy may actually help DECREASE the incidence of autism.  #somedocs #vaccineswork https://t.co/Y00t69zkem","Atlanta, GA"
"7",7,"angulosiete","#Nacional Presidente de la SCJN falta a sesión y reporta que tiene influenza | Ángulo 7 https://t.co/d3i0N9shia","Puebla"
"8",8,"BuckTheFlu","Let's make seasonal influenza a thing of the past, get your flu shot every flu season! #JonasBrothersareback #Year3000 #BuckTheFlu https://t.co/D4nckFUp6f","Columbus, OH"
"9",9,"jabs611","“Crisis” of Seriously Ill Migrants Slams Border Patrol — TB, Pneumonia, Influenza, Parasites https://t.co/vC60AKKhJW via @JudicialWatch","Alabama, USA"
"10",10,"KPWaResearch","Learning Health System at work: Paula Lozano describes how a partnership b/n researchers &amp; clinicians enabled the quick launch of an approach to reach @kpwashington members at high risk of influenza-related complications &amp; encourage them to get #vaccinated https://t.co/q38kkSw5Ms https://t.co/DyfWP8RqIU","Seattle, WA"
"11",11,"KPWaResearch","ICYMI A #LearningHealthSystem project finds @kpwashington  members who could benefit most from #fluvaccines. Paula Lozano, of @KPWaResearch, explains how data is being used to identify &amp; contact those at greatest hospitalization risk for #influenza: https://t.co/q38kkSw5Ms https://t.co/Bm8vknwhzi","Seattle, WA"
"12",12,"ssaludsonora","Se brinda plática por parte del personal de Promoción de Salud, sobre influenza, tuberculosis y la importancia de identificar  los síntomas  de estas enfermedades  y como prevenir, a pacientes de Hospital General y Centro de Salud de SLRC. #SaludSonora https://t.co/2luvn8KH0g","México"
"13",13,"CarlosGtz5","Pide ISSEA no bajar la guardia ante la influenza; aún hay vacunas.  https://t.co/kL8v3mdJQW","Aguascalientes"
"14",14,"kristensalena","Tonight’s reading: Influenza A, latent TB and recurrent HSV.","Hamilton, Ontario"
"15",15,"Lilyroseviolet9","@DogginTrump @realDonaldTrump I’m sure snorting Adderall will do it too! Im only up because I’ve got influenza and can’t sleep because I’m pretty sure I’m dying!<U+0001F637><U+0001F629>","Philadelphia, PA"
"16",16,"Lilyroseviolet9","@RandyRainbow Love you Randy Rainbow! <U+0001F308> 
Watching your videos over and over is helping me get through influenza!","Philadelphia, PA"
"17",17,"ISSSTE_HGO","La vacuna contra #Influenza protege contra los virus estacionales A(H1N1), A(H3N2) y tipo B. #MedidasPreventivas https://t.co/sj6hwCjM02","Hidalgo"
"18",18,"ISSSTE_HGO","Síntomas de la #Influenza : Fiebre alta (Mayor a 38º), Dolores musculares, Dolor de cabeza, Severo malestar general, Tos, Dolor de garganta y Secreción nasal. https://t.co/Yl4CcsrA6b","Hidalgo"
"19",19,"SDCountyHHSA","Influenza is still widespread in San Diego County. It's not too late to get a flu shot. 
https://t.co/wdS3SAN70A","San Diego County"
"20",20,"SanDiegoCounty","Influenza is still widespread in San Diego County. It's not too late to get a flu shot. 
https://t.co/x9T5ATJ3Gt","San Diego, California"
"21",21,"untSHWC","Did you know in the Northern Hemisphere the flu season can last as late as April or May? Stop by the SHWC for your FREE flu shot! For more information on how to get your flu vaccination click here: https://t.co/KAS7QxGi63","Denton, Texas"
"22",22,"censia_salud","Personal de salud, eres uno de los grupos que vacunamos contra la #influenza https://t.co/mRbbSsM1eC","Ciudad de México"
