"","fips","abbr","full","pop_2015","states","Freq"
"1","01","AL","Alabama",4858979," AL",4
"105","04","AZ","Arizona",6828065," AZ",1
"158","06","CA","California",39144818," CA",6
"261","08","CO","Colorado",5456574," CO",3
"366","11","DC","District of Columbia",672228," DC",1
"469","12","FL","Florida",20271272," FL",6
"572","13","GA","Georgia",10214860," GA",4
"781","19","IA","Iowa",3123899," IA",1
"830","17","IL","Illinois",12859995," IL",1
"933","18","IN","Indiana",6619680," IN",1
"1037","20","KS","Kansas",2911641," KS",9
"1089","21","KY","Kentucky",4425092," KY",1
"1141","22","LA","Louisiana",4670724," LA",1
"1195","25","MA","Massachusetts",6794422," MA",4
"1296","24","MD","Maryland",6006401," MD",1
"1400","26","MI","Michigan",9922576," MI",2
"1615","37","NC","North Carolina",10042802," NC",3
"1662","33","NH","New Hampshire",1330608," NH",1
"1714","34","NJ","New Jersey",8958013," NJ",3
"1814","32","NV","Nevada",2890845," NV",1
"1869","36","NY","New York",19795791," NY",5
"1923","39","OH","Ohio",11613423," OH",1
"2027","41","OR","Oregon",4028977," OR",3
"2079","42","PA","Pennsylvania",12802503," PA",1
"2236","47","TN","Tennessee",6600299," TN",2
"2339","48","TX","Texas",27469114," TX",5
"2444","51","VA","Virginia",8382993," VA",7
"2496","53","WA","Washington",7170351," WA",1
"2549","55","WI","Wisconsin",5771337," WI",1
