"","X","screen_name","text","location"
"17",17,"ISSSTE_HGO","La vacuna contra #Influenza protege contra los virus estacionales A(H1N1), A(H3N2) y tipo B. #MedidasPreventivas https://t.co/sj6hwCjM02","Hidalgo"
"31",31,"ElSoldeSanLuis","En SLP se han registrado solamente 6 muertes por influenza

Se indica que el tipo AH1N1, sigue siendo el más peligroso cuando se tienen co-morbilidades y no se tiene la vacuna como protección orgánica https://t.co/RgPCCKWQMa","San Luis Potosi"
"80",80,"Potrblog","US military suspects it is seeing reduced #Flu #Vaccine effectiveness because it is a highly vaccinated group and repeated yearly #vaccinations may be reducing immune response

#H3N2 #H1N1 #influenza #MedEd #Nurse #antivax https://t.co/FOMeVIcyFb","Saint Louis"
"84",84,"Potrblog","FDA's #Influenza #Vaccine composition meeting for the US 2019-2020 #FLUshot
is live and can be watched at this link
https://t.co/lezQajmoSA

#H3n2 #H1N1
#FLU #CDC #FDA #VRBPAC","Saint Louis"
"100",100,"SciGuyKai","@natalia13reagan My ex contracted the flu, H1N1 I believe, while pregnant. I don't recall the details, as it happened a few years after we broke up, but I heard that the flu caused her to give birth prematurely and ultimately led to the death of her newborn. Influenza isn't a joke.","Sarasota, Florida"
"183",183,"WebMD","At the start of the flu season, the predominant strain was influenza A H1N1, but now a more severe strain, influenza A H3N2, accounts for nearly half of all the new cases, according to the CDC. https://t.co/Hror2yc9yd https://t.co/p0chnRREw3","USA"
"184",184,"WebMD","At the start of the flu season, the predominant strain was influenza A H1N1, but now a more severe strain, influenza A H3N2, accounts for nearly half of all the new cases, according to the CDC.
https://t.co/9GwNBk30ud https://t.co/xPtg6lZM2h","USA"
"188",188,"EMNews","Don’t be fooled by that new #oseltamivir study, says @Runde_MC. #Tamiflu is still pretty worthless for H1N1. https://t.co/9D0L6wgVFT #AheadofPrint @IDSAinfo #influenza #flu #themoreyouknow #chickensoupinstead https://t.co/3xFmozHZaa","New York, NY"
"332",332,"A4Ny14","@CNN FDR declared a #NationalEmergency when the Nazis invaded Poland. Bush declared a National Emergency on 9/11. Obama declared a National Emergency with respect to to the 2009 H1N1 Influenza Pandemic. Trump is scared of refugees who are brown &amp; speak Spanish. It's #NotAnEmergency!","Queens, NY"
"340",340,"soltysik_rob","The company's product portfolio includes vaccines against hepatitis A and B, enterovirus 71 (EV71), seasonal influenza, H5N1 and H1N1 pandemic influenza, and mumps, as well as hand, foot, and mouth diseases. https://t.co/lEaaqBlBcg","Maryland, USA"
"346",346,"juanmapregunta","#TuCiudadEnTiempoReal Se cumplen 10 años del brote de influenza AH1N1, los especialistas recomiendan vacunarse para evitar el contagio de esta enfermedad. 

 https://t.co/fdWhvH5xgo","México City"
"347",347,"adn40","Se cumplen 10 años del brote de la #Influenza H1N1, no olvides que la mejor forma de prevención es la vacunación. https://t.co/EZPI521nL6","México"
"348",348,"adn40","Se cumplen 10 años del brote de influenza AH1N1, los especialistas recomiendan vacunarse para evitar el contagio de esta enfermedad. 

Tu Ciudad #EnTiempoReal con @juanmapregunta | https://t.co/0z4lIbYeKf https://t.co/2Cd2Fwhkkm","México"
"462",462,"OjuelosNdO","Confirman caso de influenza AH1N1 en la cabecera municipal
#LaVerdadEnTusManos #LoViEnNDO

La Secretaría de Salud Jalisco (SSJ), confirmó que se registró un caso de influenza AH1N1 en la cabecera municipal de Ojuelos... https://t.co/2h6QpaWspo","Ojuelos de Jalisco, Jalisco"
"464",464,"CDCgov","@wileyd80 Influenza A(H1N1)pdm09, influenza A(H3N2), and influenza B viruses continue to co-circulate, as of February 23. For CDC’s #FluView weekly influenza surveillance report, visit https://t.co/uMp7wH9wEn. Follow @CDCFlu for daily informative tweets.","Atlanta, GA"
"528",528,"IconoVeracruz","<U+0001F4E3>#Entérate #Nacionales #RevistaIconoVer
<U+26D4><U+FE0F>SE REGISTRAN 125 CASOS DE INFLUENZA EN JALISCO.
Del 24 de febrero al 2 de marzo, la SSJ registró 10 casos nuevos de influenza, 7 tipo AH1N1 y 3 AH3N2.
Lee la nota completa aquí<U+0001F44E>
https://t.co/KhhoJBS5fC https://t.co/f5UJZCao0y","Veracruz, Xalapa"
"587",587,"OtroVenado","Iba a publicar en mi fb que andaba haciéndome la prueba para ver si no daba positivo en Influenza VIH1N1, pero para como es la raza de pendeja capaz se la creen y hasta en chistes me publican.","Chihuahua"
"659",659,"ninha_ivo","Amazonas tem 62 casos confirmados de Influenza A H1N1 e 16 mortes https://t.co/q6qik70GAf","Made in Brazil"
"703",703,"samoa_observer","The 14 Samoan seasonal workers who are affected by the H1N1 influenza outbreak in Hawke’s Bay, New Zealand are well taken care of. 
https://t.co/N2FlEvDLaB","Samoa"
"717",717,"ANewsMX","El caso de influenza AH1N1 se registró en la escuela normal rural Raúl Isidro Burgos de Ayotzinapa <U+0001F631>

https://t.co/qPZuq5may7","Acapulco de Juárez, Guerrero"
"719",719,"ANewsChilpo","El caso de influenza AH1N1 se registró en la escuela normal rural Raúl Isidro Burgos de Ayotzinapa <U+0001F631> https://t.co/XGepnKtzkv","Chilpancingo"
"751",751,"Revista_Teorema","Influenza AH1N1, a 10 años de la última gran crisis de salud en México
https://t.co/T5m4RYcFqb https://t.co/BqNNTQ6TsF","Mexico"
"755",755,"AlTantoGuerrero","Confirman caso de influenza AH1N1 en normal de Ayotzinapa
https://t.co/Imhq17vQIZ https://t.co/Imhq17vQIZ","Acapulco de Juárez, Guerrero"
"784",784,"NoticiasACA","Confirma Salud caso de influenza AH1N1 en normal de Ayotzinapa
https://t.co/4glOFvcbCK","Acapulco de Juárez, Guerrero"
"859",859,"Change_HC","CDC: Dangerous flu strain overtakes H1N1 this season https://t.co/YCagcCjcki #flu #influenza #cdc https://t.co/IY3YQ8vdi4","Nashville, TN"
"872",872,"Francis02343112","@FelipeCalderon Seguramente extrañamos, una falsa pandemia de influenza H1N1 paralizando medio  el país.","CD de México "
"891",891,"chemahdz","@EradePaz @LuisMan16 @lovrega @FelipeCalderon Compara ahora la devaluación del peso en cada uno de esos sexenios, te darás un duro golpe con la realidad. 
Contando, aparte, que a FCH le tocó la crisis mundial de 2008, la muerte de dos secretarios de gobernación y la crisis de la influenza AH1N1.","Monterrey, Nuevo Leon, Mexico"
"975",975,"elchiltepin","México a una década de la influenza AH1N1 :: https://t.co/KjnL1h8GTE vía @elchiltepin","Hermosillo, Sonora"
"982",982,"8_Columnas","#Nacional | Eran las 11 de la noche del 23 de abril de 2009, cuando la Secretaría de Salud informaba a la población mexicana y al mundo que una nueva cepa de influenza AH1N1 estaba circulando en el país, y se desconocía su nivel de letalidad.

https://t.co/2TcmflGtcw","Estado de México"
"1304",1304,"danwolfe_me","INDIA - No Let-Up In Swine Flu - 12 More Test H1N1 Positive In Surat https://t.co/FcpBgHUZv0","USA / Canada"
"1644",1644,"SciGuyKai","@natalia13reagan My ex contracted the flu, H1N1 I believe, while pregnant. I don't recall the details, as it happened a few years after we broke up, but I heard that the flu caused her to give birth prematurely and ultimately led to the death of her newborn. Influenza isn't a joke.","Sarasota, Florida"
"1961",1961,"WebMD","At the start of the flu season, the predominant strain was influenza A H1N1, but now a more severe strain, influenza A H3N2, accounts for nearly half of all the new cases, according to the CDC. https://t.co/Hror2yc9yd https://t.co/p0chnRREw3","USA"
"2206",2206,"QTent2016","@Blueskiesovergr @TOPublicHealth @ErinPaulCTV @ONThealth The flu shot does not cause people to get the flu (they contain either dead virus, or a single gene niether of which can cause infection) . And this year's vaccine is a good match for the current H1N1 strain and providing good protection.","Toronto, Ontario"
"2326",2326,"laishalay","To be fair she stopped making us get the flu shot after they put the H1N1 vax in it and people started to have bad reactions. We did still had the measles shot. She was scared of us having bad reactions not autism","Detroit, MI"
"2332",2332,"AdeUSAGreenLib","@SassyEconomist Tell that to the cold and flu virus. You know how many people don't get a flu shot, they still go out into public, and still go to work. H1N1 eh? Didn't matter if you got a flu shot or not it was a super bug.","United States"
"2739",2739,"INgoatqueen","@OklahomaHoney_ Could be... I’ve never got a flu shot other than when school was giving out the H1N1 shots","Oklahoma, USA"
"3017",3017,"famfightflu","Interesting #ACIP flu update explains how H1N1 virus predominated across the U.S. this season, except in Southeast region which saw mostly H3N2. Now, for past 3 weeks H3N2 has been increasing across the nation, proving that no one can ""predict"" what #flu will do each season.","Arlington, VA"
"3049",3049,"amirspeaks","So far this flu season, Swine flu (H1N1) virus has been dominant, but a more aggressive H3N2 strain has overtaken it, said Doctors Association Kashmir (DAK) on Wednesday in a communiqué. https://t.co/UDXRirUD80","Kashmir"
"3050",3050,"brighterkashmir","New post (H3N2 strain overtakes swine flu (H1N1) virus: DAK) has been published on  - https://t.co/4WUWNEobhg","Kashmir"
"3095",3095,"QTent2016","@Blueskiesovergr @TOPublicHealth @ErinPaulCTV @ONThealth The flu shot does not cause people to get the flu (they contain either dead virus, or a single gene niether of which can cause infection) . And this year's vaccine is a good match for the current H1N1 strain and providing good protection.","Toronto, Ontario"
"3141",3141,"jwittta","that one time the H1N1 virus was going around and i thought it was called the heinie flu","Littleton, CO"
"3279",3279,"AdeUSAGreenLib","@SassyEconomist Tell that to the cold and flu virus. You know how many people don't get a flu shot, they still go out into public, and still go to work. H1N1 eh? Didn't matter if you got a flu shot or not it was a super bug.","United States"
"3409",3409,"HelenBranswell","3. In most parts of the country, for most parts of this #flu season, H1N1 has been the dominant virus. But H3N2, which is nastier, is making a late surge. Wash your hands, folks. Stunningly little flu B around. https://t.co/A1xjpuAU86","Boston, MA"
"3420",3420,"GertvanderHoek","Influenza activity still widespread in the European Region; among hospitalized influenza virus-infected patients admitted to ICU wards, 37% of influenza A viruses were subtyped; of these 68% were A(H1N1)pdm09 viruses (ECDC/WHO).
https://t.co/PyN2hRmncx #griep #influenza #grippe https://t.co/gJpPhgiZdJ","Netherlands"
"3428",3428,"STS_CTsurgery","“This flu season is severe, with the same H1N1 virus as 2009,” says Amy Hackmann, MD, in the latest #patient blog article. Read more about this illness and how everyone—even the young and healthy—are at risk. https://t.co/TlqREjC2eO https://t.co/k1m7acNc9Q","Chicago, IL USA"
"3542",3542,"PoncaWarrior","@IngrahamAngle In January of this year, the WHO insisted  it was not unduly influenced by drug companies to exaggerate the  dangers of the H1N1 flu virus. The WHO subsequently appointed a  committee to investigate the allegations  but its credibility suffered a serious blow when","Winfield, KS"
"3548",3548,"PoncaWarrior","@realDonaldTrump In January of this year, the WHO insisted  it was not unduly influenced by drug companies to exaggerate the  dangers of the H1N1 flu virus. The WHO subsequently appointed a  committee to investigate the allegations  but its credibility suffered a serious blow","Winfield, KS"
"3647",3647,"InfectDisNews","The flu vaccine has been 47% effective overall this season in the United States, including 46% effective against the predominant circulating virus, influenza A(H1N1), but has provided “limited to no” protection in older adults. @CDCgov https://t.co/h4XqAaK9A1 https://t.co/zyb3UTaXxV","Thorofare, NJ"
"3686",3686,"famfightflu","Interesting #ACIP flu update explains how H1N1 virus predominated across the U.S. this season, except in Southeast region which saw mostly H3N2. Now, for past 3 weeks H3N2 has been increasing across the nation, proving that no one can ""predict"" what #flu will do each season.","Arlington, VA"
"3717",3717,"amirspeaks","So far this flu season, Swine flu (H1N1) virus has been dominant, but a more aggressive H3N2 strain has overtaken it, said Doctors Association Kashmir (DAK) on Wednesday in a communiqué. https://t.co/UDXRirUD80","Kashmir"
"3718",3718,"brighterkashmir","New post (H3N2 strain overtakes swine flu (H1N1) virus: DAK) has been published on  - https://t.co/4WUWNEobhg","Kashmir"
"3763",3763,"QTent2016","@Blueskiesovergr @TOPublicHealth @ErinPaulCTV @ONThealth The flu shot does not cause people to get the flu (they contain either dead virus, or a single gene niether of which can cause infection) . And this year's vaccine is a good match for the current H1N1 strain and providing good protection.","Toronto, Ontario"
"3809",3809,"jwittta","that one time the H1N1 virus was going around and i thought it was called the heinie flu","Littleton, CO"
"3949",3949,"AdeUSAGreenLib","@SassyEconomist Tell that to the cold and flu virus. You know how many people don't get a flu shot, they still go out into public, and still go to work. H1N1 eh? Didn't matter if you got a flu shot or not it was a super bug.","United States"
"4079",4079,"HelenBranswell","3. In most parts of the country, for most parts of this #flu season, H1N1 has been the dominant virus. But H3N2, which is nastier, is making a late surge. Wash your hands, folks. Stunningly little flu B around. https://t.co/A1xjpuAU86","Boston, MA"
"4090",4090,"GertvanderHoek","Influenza activity still widespread in the European Region; among hospitalized influenza virus-infected patients admitted to ICU wards, 37% of influenza A viruses were subtyped; of these 68% were A(H1N1)pdm09 viruses (ECDC/WHO).
https://t.co/PyN2hRmncx #griep #influenza #grippe https://t.co/gJpPhgiZdJ","Netherlands"
"4098",4098,"STS_CTsurgery","“This flu season is severe, with the same H1N1 virus as 2009,” says Amy Hackmann, MD, in the latest #patient blog article. Read more about this illness and how everyone—even the young and healthy—are at risk. https://t.co/TlqREjC2eO https://t.co/k1m7acNc9Q","Chicago, IL USA"
"4211",4211,"PoncaWarrior","@IngrahamAngle In January of this year, the WHO insisted  it was not unduly influenced by drug companies to exaggerate the  dangers of the H1N1 flu virus. The WHO subsequently appointed a  committee to investigate the allegations  but its credibility suffered a serious blow when","Winfield, KS"
"4217",4217,"PoncaWarrior","@realDonaldTrump In January of this year, the WHO insisted  it was not unduly influenced by drug companies to exaggerate the  dangers of the H1N1 flu virus. The WHO subsequently appointed a  committee to investigate the allegations  but its credibility suffered a serious blow","Winfield, KS"
"4316",4316,"InfectDisNews","The flu vaccine has been 47% effective overall this season in the United States, including 46% effective against the predominant circulating virus, influenza A(H1N1), but has provided “limited to no” protection in older adults. @CDCgov https://t.co/h4XqAaK9A1 https://t.co/zyb3UTaXxV","Thorofare, NJ"
"4338",4338,"danwolfe_me","INDIA - No Let-Up In Swine Flu - 12 More Test H1N1 Positive In Surat https://t.co/FcpBgHUZv0","USA / Canada"
"4339",4339,"danwolfe_me","INDIA - 10 New H1N1 Cases In Surat City - Four In Rural https://t.co/RQEmZYhbsa","USA / Canada"
"4340",4340,"ISSSTE_HGO","La vacuna contra #Influenza protege contra los virus estacionales A(H1N1), A(H3N2) y tipo B. #MedidasPreventivas https://t.co/sj6hwCjM02","Hidalgo"
"4341",4341,"NauticalTank","I survived the H1N1 nightmare and I'm back! Come join me won't you? @TeamIGY6 @TheStreamersCo https://t.co/fsFhKpweGa","Tampa, FL"
"4343",4343,"SciGuyKai","@natalia13reagan My ex contracted the flu, H1N1 I believe, while pregnant. I don't recall the details, as it happened a few years after we broke up, but I heard that the flu caused her to give birth prematurely and ultimately led to the death of her newborn. Influenza isn't a joke.","Sarasota, Florida"
