"","fips","abbr","full","pop_2015","states","Freq"
"154","01","AL","Alabama",4858979," AL",14
"310","05","AR","Arkansas",2978204," AR",22
"615","04","AZ","Arizona",6828065," AZ",15
"872","06","CA","California",39144818," CA",215
"1638","08","CO","Colorado",5456574," CO",43
"1689","08","CO","Colorado",5456574," CO ",1
"2047","09","CT","Connecticut",3590886," CT",41
"2202","11","DC","District of Columbia",672228," DC",40
"2252","10","DE","Delaware",945934," DE",2
"2509","12","FL","Florida",20271272," FL",74
"2765","13","GA","Georgia",10214860," GA",110
"2816","13","GA","Georgia",10214860," GA ",1
"3382","19","IA","Iowa",3123899," IA",19
"3430","16","ID","Idaho",1654930," ID",4
"3482","17","IL","Illinois",12859995," IL",77
"3533","17","IL","Illinois",12859995," IL ",2
"3738","18","IN","Indiana",6619680," IN",21
"4199","20","KS","Kansas",2911641," KS",33
"4251","21","KY","Kentucky",4425092," KY",17
"4303","22","LA","Louisiana",4670724," LA",24
"4459","25","MA","Massachusetts",6794422," MA",61
"5019","24","MD","Maryland",6006401," MD",29
"5069","23","ME","Maine",1329328," ME",5
"5378","26","MI","Michigan",9922576," MI",34
"5838","27","MN","Minnesota",5489594," MN",27
"5942","29","MO","Missouri",6083672," MO",12
"6196","28","MS","Mississippi",2992333," MS",1
"6249","30","MT","Montana",1032949," MT",6
"6562","37","NC","North Carolina",10042802," NC",59
"6614","38","ND","North Dakota",756927," ND",5
"6709","31","NE","Nebraska",1896190," NE",5
"7068","33","NH","New Hampshire",1330608," NH",7
"7120","34","NJ","New Jersey",8958013," NJ",34
"7172","35","NM","New Mexico",2085109," NM",4
"7373","32","NV","Nevada",2890845," NV",30
"7424","32","NV","Nevada",2890845," NV ",2
"7530","36","NY","New York",19795791," NY",147
"7581","36","NY","New York",19795791," NY ",2
"7839","39","OH","Ohio",11613423," OH",65
"7993","40","OK","Oklahoma",3911338," OK",16
"8402","41","OR","Oregon",4028977," OR",26
"8607","42","PA","Pennsylvania",12802503," PA",63
"9016","44","RI","Rhode Island",1056298," RI",8
"9170","45","SC","South Carolina",4896146," SC",26
"9222","46","SD","South Dakota",858469," SD",2
"9784","47","TN","Tennessee",6600299," TN",30
"9938","48","TX","Texas",27469114," TX",135
"9989","48","TX","Texas",27469114," TX ",1
"10398","49","UT","Utah",2995919," UT",16
"10502","51","VA","Virginia",8382993," VA",67
"10553","51","VA","Virginia",8382993," VA ",2
"10705","50","VT","Vermont",626042," VT",3
"10758","53","WA","Washington",7170351," WA",48
"10809","53","WA","Washington",7170351," WA ",1
"11015","55","WI","Wisconsin",5771337," WI",22
"11116","54","WV","West Virginia",1844128," WV",3
"11169","56","WY","Wyoming",586107," WY",1
"11325","04","AZ","Arizona",6828065,"AZ",2
"11489","17","IL","Illinois",12859995,"IL",1
"11616","42","PA","Pennsylvania",12802503,"PA",1
"11773","47","TN","Tennessee",6600299,"TN",1
