"","screen_name","text","location"
"1","MiAmbiente","https://t.co/uXgw7U7zi2 https://t.co/uXgw7U7zi2","México"
"2","informador_MEX","La influenza no discrimina, esta vez le tocó al presidente de Suprema Corte  <U+0001F927> https://t.co/N4CTwgCVEL","Guadalajara, Jalisco"
"3","informador_MEX","Por influenza, presidente de Suprema Corte falta a sesión https://t.co/qBUbmQe7fH","Guadalajara, Jalisco"
"4","IDIGHProgram","Hilary Hendin Ph.D student from Dr. Brian Ward's lab, presented her research on influenza at today's Work In Progress seminar! For more info check out: https://t.co/KZ2F1OKA3l https://t.co/4fRVcVUjmz","Montréal, Québec"
"5","doctorMarkyMark","@philiphere Umm..no.  “According to most of the authors, more randomized controlled trials with effective, large populations are needed to explore the preventive effect of vitamin D supplementation on viral influenza infections.” https://t.co/rBzYTrfNZ4","Atlanta, GA"
"6","doctorMarkyMark","So, Influenza vaccination during pregnancy may actually help DECREASE the incidence of autism.  #somedocs #vaccineswork https://t.co/Y00t69zkem","Atlanta, GA"
"7","angulosiete","#Nacional Presidente de la SCJN falta a sesión y reporta que tiene influenza | Ángulo 7 https://t.co/d3i0N9shia","Puebla"
"8","BuckTheFlu","Let's make seasonal influenza a thing of the past, get your flu shot every flu season! #JonasBrothersareback #Year3000 #BuckTheFlu https://t.co/D4nckFUp6f","Columbus, OH"
"9","jabs611","“Crisis” of Seriously Ill Migrants Slams Border Patrol — TB, Pneumonia, Influenza, Parasites https://t.co/vC60AKKhJW via @JudicialWatch","Alabama, USA"
"10","KPWaResearch","Learning Health System at work: Paula Lozano describes how a partnership b/n researchers &amp; clinicians enabled the quick launch of an approach to reach @kpwashington members at high risk of influenza-related complications &amp; encourage them to get #vaccinated https://t.co/q38kkSw5Ms https://t.co/DyfWP8RqIU","Seattle, WA"
"11","KPWaResearch","ICYMI A #LearningHealthSystem project finds @kpwashington  members who could benefit most from #fluvaccines. Paula Lozano, of @KPWaResearch, explains how data is being used to identify &amp; contact those at greatest hospitalization risk for #influenza: https://t.co/q38kkSw5Ms https://t.co/Bm8vknwhzi","Seattle, WA"
"12","ssaludsonora","Se brinda plática por parte del personal de Promoción de Salud, sobre influenza, tuberculosis y la importancia de identificar  los síntomas  de estas enfermedades  y como prevenir, a pacientes de Hospital General y Centro de Salud de SLRC. #SaludSonora https://t.co/2luvn8KH0g","México"
"13","CarlosGtz5","Pide ISSEA no bajar la guardia ante la influenza; aún hay vacunas.  https://t.co/kL8v3mdJQW","Aguascalientes"
"14","kristensalena","Tonight’s reading: Influenza A, latent TB and recurrent HSV.","Hamilton, Ontario"
